location_1,email_domain,count
"Las Vegas, Nevada",live.com,41
"Savannah, Georgia",yahoo.com,41
"Santiago De Los Caballeros, Santiago, Dominican Republic",hotmail.com,41
"Pembroke Pines, Florida",yahoo.com,41
"Meriden, Connecticut",yahoo.com,40
"Chandler, Arizona",gmail.com,40
"Modesto, California",aol.com,40
"Wichita, Kansas",yahoo.com,40
"Walker, Louisiana",yahoo.com,40
"Lagos, Nigeria",yahoo.com,40
"Lima, Peru",hotmail.com,40
"Tracy, California",gmail.com,40
"Myrtle Beach, South Carolina",yahoo.com,40
"Coral Springs, Florida",yahoo.com,40
"Washington, District of Columbia",live.com,40
"Bogotá, Colombia",hotmail.com,40
"Woodbridge, Virginia",gmail.com,40
"Denton, Texas",gmail.com,40
"Sarasota, Florida",yahoo.com,39
Cincinnati,hotmail.com,39
"Houston, Texas",ymail.com,39
"Waterbury, Connecticut",aol.com,39
"Albuquerque, New Mexico",hotmail.com,39
"North Hollywood, California",yahoo.com,39
"Fairfield, Connecticut",gmail.com,39
"Greensboro, North Carolina",gmail.com,39
"Santa Clara, California",gmail.com,39
"Haleyville, Alabama",yahoo.com,39
"Whittier, California",yahoo.com,39
"Prairieville, Louisiana",yahoo.com,39
"West Haven, Connecticut",gmail.com,39
"Boise, Idaho",msn.com,38
"Colorado Springs, Colorado",yahoo.com,38
"Seattle, Washington",msn.com,38
"Delray Beach, Florida",gmail.com,38
"Richmond, Virginia",hotmail.com,38
"Tallahassee, Florida",gmail.com,38
"Lawrence, Massachusetts",yahoo.com,38
"Santa Clarita, California",yahoo.com,38
"Huntington Beach, California",yahoo.com,38
"Hackensack, New Jersey",gmail.com,38
"Port Saint Lucie, Florida",yahoo.com,38
"Wilmington, North Carolina",gmail.com,38
"Norfolk, Virginia",gmail.com,38
"Charleston, South Carolina",yahoo.com,38
"Homestead, Florida",yahoo.com,38
"Silver Spring, Maryland",hotmail.com,38
"Oxnard, California",gmail.com,38
"Chula Vista, California",gmail.com,38
"Cleveland, Ohio",ymail.com,37
"Los Angeles, California",msn.com,37
"Costa Mesa, California",gmail.com,37
"North Bergen, New Jersey",gmail.com,37
"Oxnard, California",yahoo.com,37
"Boynton Beach, Florida",gmail.com,37
"Houston, Texas",att.net,37
"Pembroke Pines, Florida",hotmail.com,37
"Renton, Washington",gmail.com,37
"Santa Barbara, California",yahoo.com,37
"Weston, Florida",hotmail.com,37
"Mumbai, Maharashtra",gmail.com,37
"Orlando, Florida",live.com,37
"Glendale, California",yahoo.com,37
"Trenton, New Jersey",gmail.com,37
"Norfolk, Virginia",yahoo.com,37
"Naples, Florida",hotmail.com,37
"Rancho Cucamonga, California",gmail.com,37
"Dayton, Ohio",yahoo.com,37
"Mobile, Alabama",gmail.com,37
"Washington, District of Columbia",ymail.com,37
"Little Rock, Arkansas",gmail.com,37
"Albany, New York",yahoo.com,36
"West Valley City, Utah",gmail.com,36
"Providence, Rhode Island",hotmail.com,36
"Temecula, California",gmail.com,36
"Coral Springs, Florida",hotmail.com,36
"Mesa, Arizona",yahoo.com,36
"Jackson, Mississippi",yahoo.com,36
"Valparaiso, Indiana",yahoo.com,36
"Dearborn, Michigan",gmail.com,36
"Portage, Indiana",yahoo.com,36
"Everett, Washington",gmail.com,36
"Elizabeth, New Jersey",yahoo.com,36
"Fontana, California",yahoo.com,36
"Naples, Florida",aol.com,36
"La Porte, Indiana",yahoo.com,36
"Stockton, California",aol.com,36
"Garland, Texas",yahoo.com,36
"Birmingham, Alabama",bellsouth.net,36
"Beverly Hills, California",gmail.com,36
"West Hollywood, California",gmail.com,36
"Orange, California",gmail.com,36
"Bangalore, India",gmail.com,36
"New York, New York",aim.com,36
"Los Angeles, California",mac.com,36
"Oceanside, California",yahoo.com,36
"Hoboken, New Jersey",gmail.com,35
"Fresno, California",hotmail.com,35
"Lakeland, Florida",gmail.com,35
"Cape Coral, Florida",gmail.com,35
"Eugene, Oregon",gmail.com,35
"Wilmington, Delaware",yahoo.com,35
"Tijuana, Baja California",gmail.com,35
"Quincy, Illinois",gmail.com,35
"West Haven, Connecticut",yahoo.com,35
"Delray Beach, Florida",yahoo.com,35
"Rockville, Maryland",gmail.com,35
"Huntsville, Alabama",yahoo.com,35
"Danbury, Connecticut",yahoo.com,35
"Madison, Wisconsin",yahoo.com,35
"Shreveport, Louisiana",yahoo.com,35
"Gonzales, Louisiana",gmail.com,35
"Los Banos, California",yahoo.com,35
"Lakewood, Ohio",yahoo.com,35
"New York, New York",outlook.com,34
"Lake Worth, Florida",gmail.com,34
"Arlington, Texas",hotmail.com,34
"Lawrence, Massachusetts",gmail.com,34
"Salem, Oregon",gmail.com,34
"Frisco, Texas",gmail.com,34
"Spring, Texas",gmail.com,34
"Clearwater, Florida",yahoo.com,34
"New Braunfels, Texas",gmail.com,34
"Tempe, Arizona",yahoo.com,34
"Chula Vista, California",yahoo.com,34
"Whittier, California",gmail.com,34
"Palo Alto, California",gmail.com,34
"Aurora, Illinois",gmail.com,34
"Santa Clarita, California",gmail.com,34
